Year,Earnings Yield,Dividend Yield,S&P 500,Earnings*,Dividends*,Payout Ratio,Dividends +  Buybacks,Cash Payout  Ratio
1960,5.34%,3.41%,58.11,3.1,1.98,63.86%,,
1961,4.71%,2.85%,71.55,3.37,2.04,60.51%,,
1962,5.81%,3.40%,63.1,3.67,2.15,58.52%,,
1963,5.51%,3.13%,75.02,4.13,2.35,56.81%,,
1964,5.62%,3.05%,84.75,4.76,2.58,54.27%,,
1965,5.73%,3.06%,92.43,5.3,2.83,53.40%,,
1966,6.74%,3.59%,80.33,5.41,2.88,53.26%,,
1967,5.66%,3.09%,96.47,5.46,2.98,54.59%,,
1968,5.51%,2.93%,103.86,5.72,3.04,53.18%,,
1969,6.63%,3.52%,92.06,6.1,3.24,53.09%,,
1970,5.98%,3.46%,92.15,5.51,3.19,57.86%,,
1971,5.46%,3.10%,102.09,5.57,3.16,56.78%,,
1972,5.23%,2.70%,118.05,6.17,3.19,51.63%,,
1973,8.16%,3.70%,97.55,7.96,3.61,45.34%,,
1974,13.64%,5.43%,68.56,9.35,3.72,39.81%,,
1975,8.55%,4.14%,90.19,7.71,3.73,48.42%,,
1976,9.07%,3.93%,107.46,9.75,4.22,43.33%,,
1977,11.43%,5.11%,95.1,10.87,4.86,44.71%,,
1978,12.11%,5.39%,96.11,11.64,5.18,44.51%,,
1979,13.48%,5.53%,107.94,14.55,5.97,41.02%,,
1980,11.04%,4.74%,135.76,14.99,6.44,42.93%,,
1981,12.39%,5.57%,122.55,15.18,6.83,44.96%,,
1982,9.83%,4.93%,140.64,13.82,6.93,50.15%,,
1983,8.06%,4.32%,164.93,13.29,7.12,53.60%,,
1984,10.07%,4.68%,167.24,16.84,7.83,46.47%,,
1985,7.42%,3.88%,211.28,15.68,8.2,52.29%,,
1986,5.96%,3.38%,242.17,14.43,8.19,56.71%,,
1987,6.49%,3.71%,247.08,16.04,9.17,57.16%,,
1988,8.20%,3.68%,277.72,24.12,10.22,42.37%,,
1989,6.80%,3.32%,353.4,24.32,11.73,48.24%,,
1990,6.58%,3.74%,330.22,22.65,12.35,54.53%,,
1991,4.58%,3.11%,417.09,19.3,12.97,67.21%,,
1992,4.16%,2.90%,435.71,20.87,12.64,60.54%,,
1993,4.25%,2.72%,466.45,26.9,12.69,47.17%,,
1994,5.89%,2.91%,459.27,31.75,13.36,42.09%,,
1995,5.74%,2.30%,615.93,37.7,14.17,37.58%,,
1996,4.83%,2.01%,740.74,40.63,14.89,36.65%,,
1997,4.08%,1.60%,970.43,44.09,15.52,35.21%,,
1998,3.11%,1.32%,1229.23,44.27,16.2,36.59%,,
1999,3.07%,1.14%,1469.25,51.68,16.71,32.34%,,
2000,3.94%,1.23%,1320.28,56.13,16.27,28.98%,,
2001,3.85%,1.37%,1148.09,38.85,15.74,40.52%,30.08,77.43%
2002,5.23%,1.83%,879.82,46.04,16.08,34.93%,29.83,64.78%
2003,4.87%,1.61%,1111.91,54.69,17.88,32.69%,31.58,57.74%
2004,5.58%,1.60%,1211.92,67.68,19.407,28.67%,40.6,59.99%
2005,5.47%,1.79%,1248.29,76.45,22.38,29.27%,61.17,80.01%
2006,6.18%,1.77%,1418.3,87.72,25.05,28.56%,73.16,83.40%
2007,5.62%,1.89%,1468.36,82.54,27.73,33.60%,95.36,115.53%
2008,7.24%,3.11%,903.25,65.39,28.05,42.90%,67.52,103.25%
2009,5.35%,2.00%,1115.1,59.65,22.31,37.40%,37.43,62.75%
2010,6.65%,1.84%,1257.64,83.66,23.12,27.64%,55.53,66.37%
2011,7.72%,2.07%,1257.6,97.05,26.02,26.81%,71.28,73.44%
2012,7.18%,2.13%,1426.19,102.47,30.44,29.71%,75.9,74.07%
2013,5.81%,1.96%,1848.36,107.45,36.28,33.76%,88.13,82.02%
2014,5.49%,1.92%,2058.9,113.01,39.44,34.90%,101.98,90.24%
2015,5.20%,2.11%,2043.94,106.32,43.16,40.59%,106.1,99.79%
2016,4.86%,2.01%,2238.83,108.86,45.03,41.37%,108.67,99.83%
2017,4.67%,1.86%,2673.61,124.94,49.73,39.80%,108.28,86.67%
2018,5.92%,2.14%,2506.85,148.34,53.61,36.14%,136.65,92.12%
2019,5.03%,1.82%,3230.78,162.35,58.8,36.22%,150.5,92.70%
2020,3.72%,1.51%,3756.07,139.76,56.7,40.57%,127.78,91.43%
2021,4.33%,1.24%,4766.18,206.38,59.2,28.68%,147.24,71.34%
2022,5.72%,1.78%,3839.5,219.49,68.34,31.14%,181.99,82.91%
2023,4.64%,1.47%,4769.83,221.36,70.07,31.65%,164.79,74.44%
2024,4.14%,1.25%,5881.63,243.32,73.4,30.17%,187.91,77.23%
2025,3.97%,1.15%,6845.5,271.52,78.51,28.91%,120.47,44.37%
