ticker,name,yahoo_sector,yahoo_industry,market_cap,revenue,exchange
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,4846379859968,253491003392,
GOOGL,Alphabet Inc. Class A Common Stock,Communication Services,Internet Content & Information,4360833335296,422498009088,
GOOG,Alphabet Inc. Class C Capital Stock,Communication Services,Internet Content & Information,4311534796800,422498009088,
AAPL,Apple Inc. Common Stock,Technology,Consumer Electronics,4249933053952,451442016256,
MSFT,Microsoft Corporation Common Stock,Technology,Software - Infrastructure,2770954616832,318272995328,
AMZN,"Amazon.com, Inc. Common Stock",Consumer Cyclical,Internet Retail,2563849584640,742775980032,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,2476904546304,4103904165888,
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Industrials,Aerospace & Defense,2250941661184,19300999168,
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,1797175902208,75464998912,
TSLA,"Tesla, Inc. Common Stock",Consumer Cyclical,Auto Manufacturers,1579657461760,97878999040,
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Internet Content & Information,1429868380160,214962995200,
MU,"Micron Technology, Inc. Common Stock",Technology,Semiconductors,1303647223808,90273996800,
LLY,Eli Lilly and Company Common Stock,Healthcare,Drug Manufacturers - General,1069581402112,72248999936,
AMD,"Advanced Micro Devices, Inc. Common Stock",Technology,Semiconductors,947232112640,37454000128,
WMT,Walmart Inc. Common Stock,Consumer Defensive,Discount Stores,901332074496,725304999936,
JPM,JP Morgan Chase & Co. Common Stock,Financial Services,Banks - Diversified,877084409856,173559005184,
ASML,ASML Holding N.V. New York Registry Shares,Technology,Semiconductor Equipment & Materials,766765301760,33692700672,
INTC,Intel Corporation Common Stock,Technology,Semiconductors,701780393984,53762998272,
V,Visa Inc.,Financial Services,Credit Services,652469272576,43027001344,
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,,,616583240000,0,
JNJ,Johnson & Johnson Common Stock,Healthcare,Drug Manufacturers - General,611360899072,96361996288,
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,,,609434800000,0,
AMAT,"Applied Materials, Inc. Common Stock",Technology,Semiconductor Equipment & Materials,574032642048,29024000000,
XOM,Exxon Mobil Corporation Common Stock,Energy,Oil & Gas Integrated,566697197568,326008012800,
LRCX,Lam Research Corporation Common Stock,Technology,Semiconductor Equipment & Materials,541909909504,21681844224,
CAT,"Caterpillar, Inc. Common Stock",Industrials,Farm & Heavy Construction Machinery,490484400128,70755000320,
CSCO,"Cisco Systems, Inc. Common Stock (DE)",Technology,Communication Equipment,462960918528,60745998336,
MA,Mastercard Incorporated Common Stock,Financial Services,Credit Services,453808652288,33938999296,
ABBV,AbbVie Inc. Common Stock,Healthcare,Drug Manufacturers - General,444595732480,62819000320,
ORCL,Oracle Corporation Common Stock,Technology,Software - Infrastructure,422133039104,67356999680,
COST,Costco Wholesale Corporation Common Stock,Consumer Defensive,Discount Stores,414861099008,293586993152,
BAC,Bank of America Corporation Common Stock,Financial Services,Banks - Diversified,404363739136,109590003712,
KLAC,KLA Corporation Common Stock,Technology,Semiconductor Equipment & Materials,394116268032,13096660992,
GE,GE Aerospace Common Stock,Industrials,Aerospace & Defense,390484197376,48312999936,
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,378708688896,4920000000,
UNH,UnitedHealth Group Incorporated Common Stock (DE),Healthcare,Healthcare Plans,377452068864,449713012736,
HD,"Home Depot, Inc. (The) Common Stock",Consumer Cyclical,Home Improvement Retail,351663095808,166592004096,
KO,Coca-Cola Company (The) Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,349662740480,49284001792,
PG,Procter & Gamble Company (The) Common Stock,Consumer Defensive,Household & Personal Products,341465759744,86716997632,
SNDK,Sandisk Corporation Common Stock,Technology,Computer Hardware,336716136448,13184000000,
CVX,Chevron Corporation Common Stock,Energy,Oil & Gas Integrated,330127212544,185740001280,
MS,Morgan Stanley Common Stock,Financial Services,Capital Markets,329715613696,73173999616,
HSBC,"HSBC Holdings, plc. Common Stock",Financial Services,Banks - Diversified,326124634112,63773999104,
MRK,"Merck & Company, Inc. Common Stock (new)",Healthcare,Drug Manufacturers - General,317372465152,65768001536,
GEV,GE Vernova Inc. Common Stock,Industrials,Specialty Industrial Machinery,315708375040,39374999552,
NFLX,"Netflix, Inc. Common Stock",Communication Services,Entertainment,300651020288,46889992192,
NVS,Novartis AG Common Stock,Healthcare,Drug Manufacturers - General,299036180480,56577998848,
GS,"Goldman Sachs Group, Inc. (The) Common Stock",Financial Services,Capital Markets,298361651200,61532999680,
AZN,AstraZeneca PLC Ordinary Shares,Healthcare,Drug Manufacturers - General,294074482688,60438999040,
RY,Royal Bank Of Canada Common Stock,Financial Services,Banks - Diversified,287618400256,65716998144,
PM,Philip Morris International Inc Common Stock,Consumer Defensive,Tobacco,281958875136,41493000192,
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Software - Infrastructure,279694376960,5224174080,
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Hardware,278784606208,134001999872,
PANW,"Palo Alto Networks, Inc. Common Stock",Technology,Software - Infrastructure,277931294720,10606499840,
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,271271362560,18438000640,
IBM,International Business Machines Corporation Common Stock,Technology,Information Technology Services,264305147904,68910997504,
MRVL,"Marvell Technology, Inc. Common Stock",Technology,Semiconductors,260818534400,8717100032,
RTX,RTX Corporation Common Stock,Industrials,Aerospace & Defense,255506235392,90372997120,
WFC,Wells Fargo & Company Common Stock,Financial Services,Banks - Diversified,252894052352,81135001600,
LIN,Linde plc Ordinary Shares,Basic Materials,Specialty Chemicals,239930507264,34654998528,
C,"Citigroup, Inc. Common Stock",Financial Services,Banks - Diversified,238712569856,78734000128,
CCZ,Comcast Holdings ZONES,,,237659127755,0,
AXP,American Express Company Common Stock,Financial Services,Credit Services,230796918784,68811997184,
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Cyclical,Internet Retail,230377357312,1023670026240,
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",Financial Services,Banks - Diversified,224296992768,8514254143488,
WDC,Western Digital Corporation Common Stock,Technology,Computer Hardware,220155363328,11777000448,
GLW,Corning Incorporated Common Stock,Technology,Electronic Components,219832713216,16321000448,
APH,Amphenol Corporation Common Stock,Technology,Electronic Components,216914952192,25903800320,
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Computer Hardware,216380981248,11009999872,
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,Energy,Oil & Gas Integrated,214941384704,267342004224,
ANET,"Arista Networks, Inc. Common Stock",Technology,Computer Hardware,213907701760,9709899776,
NVO,Novo Nordisk A/S Common Stock,Healthcare,Drug Manufacturers - General,212223442944,327799996416,
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Basic Materials,Other Industrial Metals & Mining,211636142080,53987999744,
TD,Toronto Dominion Bank (The) Common Stock,Financial Services,Banks - Diversified,200608546816,59179999232,
TM,Toyota Motor Corporation Common Stock,Consumer Cyclical,Auto Manufacturers,199426998272,50684951003136,
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",Financial Services,Banks - Diversified,197843451904,47374000128,
AMGN,Amgen Inc. Common Stock,Healthcare,Drug Manufacturers - General,195439165440,37219999744,
QCOM,QUALCOMM Incorporated Common Stock,Technology,Semiconductors,194768650240,44486000640,
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",Technology,Software - Infrastructure,194268594176,5094199808,
ADI,"Analog Devices, Inc. Common Stock",Technology,Semiconductors,193456373760,12740193280,
